id,A4-A4au-A4dw-A4ab-A4cu-A4av,A4-A4dr-A4au,A4-A4dt-A4dv-A4du-A4dr,B19-B19ai-B19x-B19an,B19-B19ai-B19x-B19al,B19-B19ai-B19x-B19bl,C1-C1c-C1b-C1al-C42.2-C1bh-C1br,C47a-C42.2-C47e-C44-C47-C42dp,C3-C3lp,C1-C1b-C1c-C42.2-C1bh-C1br-C3-C1cb,C3-C3lp-C3cl,C1/C1c-C1al-C1b-C42.2,C1-C1c-C1am-C1ao-C1an-C1b-C3cm,C45a-C42.2-C45m-C44i-C45n-C44j-C42ev-C44-C42fb,C1/C3-C1c-C1b-C42.2-C1bh,C1-C1c-C1b-C42.2-C1bh-C72k-C1br-C1cb,C42.2/C45a-C44j-C42ev-C42df,D1-D4-D4c-D1c-D1k-D2,D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,D1-D4-D4c-D1c-D2-D1k-D17d,D1/D1ih-D4-D4c-D1c-D2,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e
C11,5775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D06,14091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D05,16732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C05,14224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08,8920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B12,6216,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C06,12130,0,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D03,0,18899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D04,0,21983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,0,19504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C02,0,17302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C07,0,18114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D02,0,17444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C03,0,12208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,0,16951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D01,0,19965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11,0,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C01,0,5803,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C04,0,17728,0,3233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G10,0,0,0,0,0,0,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F12,0,0,0,0,0,0,6814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,10579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,8219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F07,0,0,0,0,0,0,6065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,4788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
